GameID,PlayedID,PlayerName,TeamAbbreviation,Agent,ACS,Kills,Deaths,Assists,PlusMinus,KAST_Present,ADR,HS_Present,FirstKills,FirstDeaths,FKFD_PlusMinus,Num_2Ks,Num_3Ks,Num_4Ks,Num_5Ks,OnevOne,OnevTwo,OnevThree,OnevFour,OnevFive,Econ,Plants,Defuses
60734,21668,Verno,ex-FB,skye,186,14,9,10,5,0.9,123,0.19,4,0,4,4,0,0,0,1,0,0,0,0,54,1,0
60734,21901,WhoFramedMe,ex-FB,sova,159,12,13,2,-1,0.7,105,0.32,2,2,0,2,0,0,0,0,0,0,0,0,42,2,0
60734,19291,Bobovo,Pho,chamber,328,24,16,0,8,0.7,205,0.25,6,2,4,4,3,0,0,0,0,0,0,0,80,0,0
60734,1080,Dopai,Pho,skye,200,14,16,6,-2,0.7,126,0.24,1,1,0,3,0,0,0,0,0,0,0,0,47,1,0
60734,21542,Zento,Pho,viper,193,12,15,5,-3,0.8,128,0.31,1,0,1,4,0,0,0,0,0,0,0,0,59,2,0
60734,16757,Cohburg,Pho,astra,131,10,16,1,-6,0.55,80,0.35,1,5,-4,1,1,0,0,0,0,0,0,0,43,0,0
60734,19293,evaD,Pho,sova,65,3,15,10,-12,0.55,56,0.18,0,3,-3,1,0,0,0,1,0,0,0,0,21,1,1
60736,3012,riku,PK.A,killjoy,239,19,17,6,2,0.74,170,0.17,2,1,1,5,0,0,0,2,0,0,0,0,63,4,2
60736,4931,Add3r,PK.A,chamber,239,21,17,4,4,0.78,166,0.38,1,3,-2,5,1,0,0,0,0,0,0,0,69,2,0
60736,6572,pureVNS,PK.A,astra,220,19,14,6,5,0.87,163,0.41,1,1,0,3,1,0,0,3,0,0,0,0,69,1,2
60736,2161,leak,PK.A,sova,211,18,18,5,0,0.87,138,0.35,0,2,-2,6,0,0,0,0,0,0,0,0,48,1,1
60736,19618,stare,PK.A,jett,175,14,22,2,-8,0.57,109,0.28,4,8,-4,3,0,0,0,0,0,0,0,0,34,0,0
