TeamName,RoundType,Won,Lost
UNGE,ecosemi-eco,0,0
UNGE,full-buyeco,0,0
UNGE,full-buyfull-buy,1,10
UNGE,full-buysemi-buy,2,2
UNGE,full-buysemi-eco,0,1
UNGE,semi-buyeco,0,0
UNGE,semi-buyfull-buy,0,6
UNGE,semi-buysemi-buy,0,0
UNGE,semi-buysemi-eco,0,0
UNGE,semi-ecoeco,0,0
UNGE,semi-ecofull-buy,1,3
UNGE,semi-ecosemi-buy,0,0
UNGE,semi-ecosemi-eco,0,0
TE,ecoeco,15,17
TE,ecofull-buy,0,3
TE,ecosemi-buy,3,6
TE,ecosemi-eco,0,0
TE,full-buyeco,0,2
TE,full-buyfull-buy,41,45
TE,full-buysemi-buy,17,8
TE,full-buysemi-eco,9,10
TE,semi-buyeco,8,6
TE,semi-buyfull-buy,12,17
TE,semi-buysemi-buy,0,3
TE,semi-buysemi-eco,1,0
TE,semi-ecoeco,0,0
TE,semi-ecofull-buy,5,9
TE,semi-ecosemi-buy,0,0
TE,semi-ecosemi-eco,0,0
BBG.A,ecoeco,25,27
BBG.A,ecofull-buy,0,3
BBG.A,ecosemi-buy,6,7
BBG.A,ecosemi-eco,0,0
BBG.A,full-buyeco,1,1
BBG.A,full-buyfull-buy,127,99
BBG.A,full-buysemi-buy,42,30
BBG.A,full-buysemi-eco,31,15
BBG.A,semi-buyeco,19,14
BBG.A,semi-buyfull-buy,25,33
BBG.A,semi-buysemi-buy,11,8
BBG.A,semi-buysemi-eco,1,1
BBG.A,semi-ecoeco,0,0
BBG.A,semi-ecofull-buy,10,19
BBG.A,semi-ecosemi-buy,3,2
BBG.A,semi-ecosemi-eco,0,0
DOM,ecoeco,1,3
DOM,ecofull-buy,0,2
DOM,ecosemi-buy,1,2
DOM,ecosemi-eco,0,0
DOM,full-buyeco,0,0
DOM,full-buyfull-buy,2,6
DOM,full-buysemi-buy,1,1
DOM,full-buysemi-eco,0,1
DOM,semi-buyeco,0,0
DOM,semi-buyfull-buy,2,4
DOM,semi-buysemi-buy,0,4
DOM,semi-buysemi-eco,0,0
DOM,semi-ecoeco,0,0
DOM,semi-ecofull-buy,0,2
DOM,semi-ecosemi-buy,0,1
DOM,semi-ecosemi-eco,0,0
REG,ecoeco,23,21
REG,ecofull-buy,1,1
REG,ecosemi-buy,7,11
REG,ecosemi-eco,0,0
REG,full-buyeco,3,2
REG,full-buyfull-buy,83,85
REG,full-buysemi-buy,23,28
REG,full-buysemi-eco,20,11
REG,semi-buyeco,15,4
REG,semi-buyfull-buy,21,25
REG,semi-buysemi-buy,9,9
REG,semi-buysemi-eco,3,2
REG,semi-ecoeco,0,0
REG,semi-ecofull-buy,21,18
REG,semi-ecosemi-buy,1,2
REG,semi-ecosemi-eco,0,0
GOOD,ecoeco,1,3
GOOD,ecofull-buy,1,0
GOOD,ecosemi-buy,0,3
GOOD,ecosemi-eco,0,0
GOOD,full-buyeco,0,0
GOOD,full-buyfull-buy,7,9
GOOD,full-buysemi-buy,0,2
GOOD,full-buysemi-eco,1,1
GOOD,semi-buyeco,0,0
GOOD,semi-buyfull-buy,2,2
GOOD,semi-buysemi-buy,1,1
GOOD,semi-buysemi-eco,0,0
GOOD,semi-ecoeco,0,0
GOOD,semi-ecofull-buy,1,4
GOOD,semi-ecosemi-buy,1,1
GOOD,semi-ecosemi-eco,0,0
FS,ecoeco,10,12
FS,ecofull-buy,1,2
FS,ecosemi-buy,6,11
FS,ecosemi-eco,0,0
FS,full-buyeco,1,0
FS,full-buyfull-buy,38,48
FS,full-buysemi-buy,16,10
FS,full-buysemi-eco,2,4
FS,semi-buyeco,2,2
FS,semi-buyfull-buy,9,26
FS,semi-buysemi-buy,8,4
FS,semi-buysemi-eco,1,0
FS,semi-ecoeco,0,0
FS,semi-ecofull-buy,6,12
FS,semi-ecosemi-buy,0,1
FS,semi-ecosemi-eco,0,0
F5,ecoeco,6,8
F5,ecofull-buy,0,0
F5,ecosemi-buy,3,4
F5,ecosemi-eco,0,0
F5,full-buyeco,0,0
F5,full-buyfull-buy,31,25
F5,full-buysemi-buy,8,7
F5,full-buysemi-eco,3,4
F5,semi-buyeco,6,1
F5,semi-buyfull-buy,7,4
F5,semi-buysemi-buy,3,7
F5,semi-buysemi-eco,0,0
F5,semi-ecoeco,0,0
F5,semi-ecofull-buy,7,8
F5,semi-ecosemi-buy,1,1
F5,semi-ecosemi-eco,0,0
VIT,ecoeco,12,10
VIT,ecofull-buy,1,0
VIT,ecosemi-buy,4,3
VIT,ecosemi-eco,0,0
VIT,full-buyeco,1,1
VIT,full-buyfull-buy,49,44
VIT,full-buysemi-buy,21,17
VIT,full-buysemi-eco,8,7
VIT,semi-buyeco,7,4
VIT,semi-buyfull-buy,10,10
VIT,semi-buysemi-buy,4,9
VIT,semi-buysemi-eco,3,2
VIT,semi-ecoeco,0,0
VIT,semi-ecofull-buy,10,4
VIT,semi-ecosemi-buy,1,0
VIT,semi-ecosemi-eco,0,0
BLEED,ecoeco,9,15
BLEED,ecofull-buy,2,1
BLEED,ecosemi-buy,6,3
BLEED,ecosemi-eco,0,0
BLEED,full-buyeco,2,2
BLEED,full-buyfull-buy,50,37
BLEED,full-buysemi-buy,25,24
BLEED,full-buysemi-eco,16,3
BLEED,semi-buyeco,5,9
BLEED,semi-buyfull-buy,13,19
BLEED,semi-buysemi-buy,3,2
BLEED,semi-buysemi-eco,0,1
BLEED,semi-ecoeco,0,0
BLEED,semi-ecofull-buy,3,9
BLEED,semi-ecosemi-buy,1,0
BLEED,semi-ecosemi-eco,0,0
OBG,ecoeco,2,4
OBG,ecofull-buy,0,0
OBG,ecosemi-buy,2,4
OBG,ecosemi-eco,0,0
OBG,full-buyeco,0,1
OBG,full-buyfull-buy,13,13
OBG,full-buysemi-buy,6,1
OBG,full-buysemi-eco,1,1
OBG,semi-buyeco,0,0
OBG,semi-buyfull-buy,5,7
OBG,semi-buysemi-buy,0,1
OBG,semi-buysemi-eco,0,0
OBG,semi-ecoeco,0,0
OBG,semi-ecofull-buy,4,4
OBG,semi-ecosemi-buy,1,0
OBG,semi-ecosemi-eco,0,0
TL,ecoeco,5,9
TL,ecofull-buy,0,0
TL,ecosemi-buy,1,3
TL,ecosemi-eco,0,0
TL,full-buyeco,0,1
TL,full-buyfull-buy,22,24
TL,full-buysemi-buy,11,10
TL,full-buysemi-eco,5,6
TL,semi-buyeco,3,5
TL,semi-buyfull-buy,9,13
TL,semi-buysemi-buy,7,4
TL,semi-buysemi-eco,1,0
TL,semi-ecoeco,0,0
TL,semi-ecofull-buy,1,6
TL,semi-ecosemi-buy,1,1
TL,semi-ecosemi-eco,0,0
KPI,ecoeco,4,4
KPI,ecofull-buy,2,0
KPI,ecosemi-buy,3,3
KPI,ecosemi-eco,0,0
KPI,full-buyeco,0,1
KPI,full-buyfull-buy,13,17
KPI,full-buysemi-buy,6,4
KPI,full-buysemi-eco,0,0
KPI,semi-buyeco,1,0
KPI,semi-buyfull-buy,6,6
KPI,semi-buysemi-buy,2,0
KPI,semi-buysemi-eco,0,1
KPI,semi-ecoeco,0,0
KPI,semi-ecofull-buy,3,5
KPI,semi-ecosemi-buy,1,1
KPI,semi-ecosemi-eco,0,0
BA,ecoeco,15,17
BA,ecofull-buy,0,1
BA,ecosemi-buy,4,9
BA,ecosemi-eco,0,0
BA,full-buyeco,1,0
BA,full-buyfull-buy,51,45
BA,full-buysemi-buy,33,19
BA,full-buysemi-eco,8,8
BA,semi-buyeco,7,8
BA,semi-buyfull-buy,20,33
BA,semi-buysemi-buy,8,6
BA,semi-buysemi-eco,3,2
BA,semi-ecoeco,0,0
BA,semi-ecofull-buy,5,10
BA,semi-ecosemi-buy,3,0
BA,semi-ecosemi-eco,0,0
THE ,ecoeco,31,35
THE ,ecofull-buy,1,0
THE ,ecosemi-buy,7,16
THE ,ecosemi-eco,0,0
THE ,full-buyeco,0,0
THE ,full-buyfull-buy,124,138
THE ,full-buysemi-buy,54,36
THE ,full-buysemi-eco,31,13
THE ,semi-buyeco,20,12
THE ,semi-buyfull-buy,39,56
THE ,semi-buysemi-buy,9,9
THE ,semi-buysemi-eco,3,6
THE ,semi-ecoeco,0,0
THE ,semi-ecofull-buy,12,26
THE ,semi-ecosemi-buy,2,5
THE ,semi-ecosemi-eco,0,0
NERD,ecoeco,2,2
NERD,ecofull-buy,0,0
NERD,ecosemi-buy,0,0
NERD,ecosemi-eco,0,0
NERD,full-buyeco,0,0
NERD,full-buyfull-buy,13,5
NERD,full-buysemi-buy,6,6
NERD,full-buysemi-eco,3,1
NERD,semi-buyeco,2,2
NERD,semi-buyfull-buy,0,2
NERD,semi-buysemi-buy,0,0
NERD,semi-buysemi-eco,0,0
NERD,semi-ecoeco,0,0
NERD,semi-ecofull-buy,0,0
NERD,semi-ecosemi-buy,0,0
NERD,semi-ecosemi-eco,0,0
RICE,ecoeco,2,2
RICE,ecofull-buy,0,0
RICE,ecosemi-buy,2,1
RICE,ecosemi-eco,0,0
RICE,full-buyeco,0,0
RICE,full-buyfull-buy,6,10
RICE,full-buysemi-buy,3,1
RICE,full-buysemi-eco,0,1
RICE,semi-buyeco,0,0
RICE,semi-buyfull-buy,2,6
RICE,semi-buysemi-buy,0,2
RICE,semi-buysemi-eco,1,0
RICE,semi-ecoeco,0,0
RICE,semi-ecofull-buy,2,3
RICE,semi-ecosemi-buy,0,0
RICE,semi-ecosemi-eco,0,0
NEME,ecoeco,18,24
NEME,ecofull-buy,3,1
NEME,ecosemi-buy,7,11
NEME,ecosemi-eco,0,0
NEME,full-buyeco,0,0
NEME,full-buyfull-buy,85,88
NEME,full-buysemi-buy,33,28
NEME,full-buysemi-eco,15,8
NEME,semi-buyeco,10,7
NEME,semi-buyfull-buy,25,36
NEME,semi-buysemi-buy,5,12
NEME,semi-buysemi-eco,0,2
NEME,semi-ecoeco,0,0
NEME,semi-ecofull-buy,8,11
NEME,semi-ecosemi-buy,0,3
NEME,semi-ecosemi-eco,0,0
RIT ,ecoeco,1,3
RIT ,ecofull-buy,0,1
RIT ,ecosemi-buy,1,3
RIT ,ecosemi-eco,0,0
RIT ,full-buyeco,0,0
RIT ,full-buyfull-buy,7,8
RIT ,full-buysemi-buy,1,2
RIT ,full-buysemi-eco,1,1
RIT ,semi-buyeco,0,0
RIT ,semi-buyfull-buy,4,3
RIT ,semi-buysemi-buy,0,1
RIT ,semi-buysemi-eco,0,0
RIT ,semi-ecoeco,0,0
RIT ,semi-ecofull-buy,0,3
RIT ,semi-ecosemi-buy,0,1
RIT ,semi-ecosemi-eco,0,0
DV,ecoeco,4,4
DV,ecofull-buy,0,0
DV,ecosemi-buy,5,2
DV,ecosemi-eco,0,0
DV,full-buyeco,0,0
DV,full-buyfull-buy,14,17
DV,full-buysemi-buy,5,3
DV,full-buysemi-eco,2,2
DV,semi-buyeco,1,1
DV,semi-buyfull-buy,4,6
DV,semi-buysemi-buy,0,2
DV,semi-buysemi-eco,0,0
DV,semi-ecoeco,0,0
DV,semi-ecofull-buy,1,3
DV,semi-ecosemi-buy,0,0
DV,semi-ecosemi-eco,0,0
SURR,ecoeco,14,8
SURR,ecofull-buy,0,1
SURR,ecosemi-buy,0,3
SURR,ecosemi-eco,0,0
SURR,full-buyeco,1,1
SURR,full-buyfull-buy,50,50
SURR,full-buysemi-buy,13,16
SURR,full-buysemi-eco,12,11
SURR,semi-buyeco,12,5
SURR,semi-buyfull-buy,16,12
SURR,semi-buysemi-buy,3,5
